SMILES,CP
*CC(*)OC(=O)C(C)(C(C)C)C(C)C,1677.54
*CC(*)OC(=O)c1ccccc1OC,1351.11
*CC(*)OC(=O)c1cccc(OC)c1,1351.11
*CC(*)OC(=O)c1ccc(OC)cc1,1351.11
*CC(*)OC(=O)c1ccccc1C,1324.21
*CC(*)OC(=O)c1cccc(C)c1,1324.21
*CC(*)OC(=O)c1ccc(C)cc1,1324.21
*CC(*)OC(=O)CC(C)(C)c1ccccc1,1414.14
*CC(*)OC(=O)C(C)(C)CCC,1649.87
*CC(*)OC(=O)C(C)(C)C(C)(C)CC,1680.52
*CC(*)OC(=O)C(C)(C)C(C)C(C)C,1677.54
*CC(*)OC(=O)C(C)(C)CC(C)(C)C,1680.52
*CC(*)OC(=O)c1cccnc1,1203.65
*CC(*)OC(=O)c1cccc([N+](=O)[O-])c1,1285.39
*CC(*)OC(=O)CCCCCCC,1655.62
*CC(*)OC(F)(C(F)(F)F)C(F)(F)F,1485.8
*CC(*)OC(=O)CCl,1216.88
*CC(*)c1cccs1,1066.91
*CC(*)OCCCl,1357.44
*CC(*)OCCOC,1753.16
*CC(*)OCC(F)(F)F,1560.99
*CC(*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,1650.79
*CC(*)OC(=O)C1CCCC1,1506.11
*CC(*)OC(=O)C1(C)CCCCC1,1561.63
*CC(*)c1nc(C)nc(C)n1,1345.18
*CC(*)OC(=O)CCCCCCCCC,1677.09
*CC(*)OC(=O)CCCCC,1625.69
*C1Cc2ccccc2C1*,1216.92
*CC(OC)C1C(=O)OC(=O)C1*,1371.45
*CC(OC)C(C(=O)O)C(*)C(=O)O,1340.05
*C#C/C(OS(=O)(=O)c1ccc(C)cc1)=C(/*)OS(=O)(=O)c1ccc(C)cc1,1090.79
*CCC/C=C(/*)c1ccc(OC)cc1,1496.68
*CCC/C=C(/*)c1ccccc1,1430.25
*CCC/C=C(/*)c1ccc(Cl)cc1,1267.02
*CC(*)CNc1ccc([N+](=O)[O-])cc1,1316.01
*CC(*)CNc1ccc([N+](=O)[O-])cn1,1258.5
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,1378.87
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1357.19
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1337.68
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,1395.82
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,1415.13
*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,1426.74
*CC(*)n1ccnc1,1291.46
*CC(*)OC(=O)CCCCCCCCCCCCCCCCCCCCC,1736.9
*CC(*)OCCCCCCCCCCCCCCCCCC,1798.6
*CC(*)OC(=O)c1ccc(C#N)cc1,1179.33
*CC(*)OCC(C)(C)CC(C)C,1800.78
*C(F)(F)C(*)(F)OC(F)C(F)F,1478.65
*CC(*)C(=O)c1ccc(Br)cc1,1112.55
*CC(*)OC(=O)CC1CCCC1,1533.51
*CC(*)N1CCCC1=O,1481.98
*CCC1CC2C(CC(*)C2OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,1402.78
*CC(*)C(=O)O,1260.72
*CC(*)C(=O)OC,1507.29
*CC(*)C(=O)OCC,1549.33
*CC(*)C(=O)OCCC,1581.04
*CC(*)C(=O)OC(C)C,1584.02
*CC(*)C(=O)OCCCC,1605.81
*CC(*)C(=O)OCC(C)C,1608.46
*CC(*)C(=O)OC(C)CC,1608.46
*CC(*)C(=O)OC(C)(C)C,1615.41
*CC(*)C(=O)OCCCCCC,1642
*CC(*)C(=O)OCCCCCCC,1655.62
*CC(*)C(=O)OCCCCCCCC,1667.17
*CC(*)C(=O)OCCCCCCCCCCCC,1699.89
*CC(*)C(=O)OCCCCCCCCCCCCCC,1711.12
*CC(*)C(=O)OCCCCCCCCCCCCCCCC,1720.23
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,1727.76
