SMILES,ALPHA
*C(=S)N(*)C,8.223
*/C=C/SS*,9.945
*/C=C/SS*,9.945
*/C=C(/*)CO,6.413
*/C(C)=C(/*)C#N,8.033
*c1ccc(*)o1,6.939
*CCSS*,9.816
*c1ccc(*)[nH]1,7.757
*C(=O)N(*)C=C,7.637
*[Si](*)(C)C,7.693
*C(*)C(=O)OC,6.524
*C[SiH](*)C,7.693
*c1cc(C#N)c(*)s1,11.565
*C(=C(F)F)C(*)(F)F,5.883
*Nc1cnc(*)s1,9.965
*NNC(=O)C(*)=O,6.959
*CC(*)C(=O)O[Na],7.709
*c1ccc(*)nn1,8.449
*CCC(=O)O*,6.513
*CNC(=O)N*,6.699
*OC(C)C(*)=O,6.563
*CC(*)C(=O)O[Li],7.211
*C#Cc1ccc(*)s1,12.995
*C([2H])([2H])C(*)(F)F,4.134
*CC/C=C(/*)Cl,9.325
*C(F)C(*)(F)F,4.196
*OC(*)C=C,6.286
*CC(*)(F)Cl,5.883
*CC(*)(F)F,4.134
*/C=C(/*)C#N,6.012
*OC(*)C,4.676
*CC(C)O*,6.464
*Sc1ccc(*)nn1,11.737
*C([2H])([2H])C(*)([2H])Cl,5.747
*CC/C=C(/*)Cl,9.325
*CC(*)(Cl)C#N,7.814
*CC(*)(Cl)Cl,7.658
*CC(*)F,4.04
*NC(=S)NS(*)=O,11.486
*CC(*)(F)C#N,5.993
*OC(*)CCl,6.443
*/C=C(\F)C(F)(F)C*,7.553
*CC(*)N,5.32
*OC(*)C(Cl)Cl,8.352
*CC/C=C(/*)Cl,9.325
*Nc1nc(*)nc(Cl)n1,11.353
*CC(CCl)O*,8.181
*/C=C(/*)F,3.878
*C([2H])([2H])C(*)([2H])C([2H])([2H])[2H],5.76
*SC(C)C(*)=O,8.909
*/C([2H])=C(/*)[2H],3.82
*/C=C(/*)F,3.878
*/C([2H])=C(/*)[2H],3.82
*CCCS*,8.545
*CC(C)S*,8.688
*CC(CF)O*,6.457
*c1cccc(*)n1,9.155
*CC(*)C(F)(F)F,5.881
*CC(*)OC=O,6.504
*CC(*)SC,8.682
*C1C=CC(*)S1,9.388
*CC(O*)C(F)(F)F,6.555
*/C=C(/*)C(C)=O,7.694
*O[Si](*)(C)C,7.999
*C(C)C(*)O,6.387
*/N=[SH]/*,4.568
*c1ccc(*)nc1,9.155
*CC(*)(F)C(F)(F)F,5.989
*C(F)C(*)C(F)(F)F,5.936
*CCC(=O)N*,7.174
*CC(F)(F)/C(F)=C(/*)Cl,9.446
*CC(*)C=C,7.548
*CC(*)C(N)=O,7.174
*/C=C(/*)CC,7.548
*OC(*)CC,6.38
*NC(C)C(*)=O,7.26
*OC(=C)CC(*)=O,8.385
*O[Si](*)(C)C,7.999
*OC(*)(C)C,6.461
*CC/C(Cl)=C(/*)Cl,11.198
*C(F)(F)C(*)(F)C(F)(F)F,6.189
*c1cc(C)c(*)s1,11.05
*c1ccc(*)cc1,9.902
*CCSSSS*,16.097
*C(F)C(*)(F)OC(F)(F)F,6.757
*Sc1cccc(*)n1,12.489
*N=P(*)(C)C,8.755
*c1cc2sc(*)cc2s1,15.173
*CC(*)CO,6.414
*C([2H])([2H])C(*)([2H])C([2H])=C([2H])[2H],7.548
*CC(*)S(=O)(=O)O[Na],8.916
*CCOC(=O)O*,7.102
*B1NBN(*)BN1,8.909
*OC(F)(F)C(F)(F)C(*)(F)F,6.865
*C(F)(F)C(*)(F)OC(F)(F)F,6.868
*CCC(*)O,6.414
*C(=O)N(*)CC,7.25
*c1cc2cc(*)sc2s1,14.989
*O[Si](*)(C([2H])([2H])[2H])C([2H])([2H])[2H],8.001
*C(OC(F)(F)F)C(*)(F)F,6.751
*CC(*)NC=O,7.25
*C1=CC2=NC(*)=CC2=N1,11.218
*C1=CC2=CC(*)=NC2=N1,11.312
*CCOCO*,7.13
*CC(O)CO*,7.064
*CC(C=C)O*,8.174
*N[Si](*)(C)C,8.81
*CCCSS*,11.596
*C1CC(*)(C#N)C1,8.897
*CC(*)S(=O)(=O)O,8.013
*Sc1ccc(*)cc1,13.15
*OC(F)(C(*)(F)F)C(F)(F)F,6.834
*c1ccc(*)c(O)c1,10.684
*C1C=CC(*)N1,7.904
*/C=C(/*)c1cccs1,13.44
*/C=C/C(C#N)C*,9.327
*CC(*)(F)C(C)=O,7.716
*CC(*)c1nnn[nH]1,9.193
*OC(*)=C(C)C,8.205
*CC(*)P(=O)(O)O,8.317
*CCNS(*)(=O)=O,8.77
*CC(*)S(C)=O,9.308
*CC(*)CN,7.078
*C1CCOC1*,7.403
*Oc1c(Cl)cc(*)cc1Cl,14.739
*C(C)C(*)[N+](=O)[O-],7.908
*/C=C/c1ccc(*)o1,11.383
*/C(Cl)=C(\Cl)C(Cl)(Cl)C(*)(Cl)Cl,18.448
*/C=C/c1ccc(*)s1,13.469
*Oc1cc(Cl)cc(Cl)c1*,14.867
*OC1=CC(=O)C(*)=CC1=O,11.919
*C#CC#Cc1ccc(*)s1,18.315
*OC(F)(F)OC(F)(F)C(*)(F)F,7.481
*Sc1ccc(*)cc1,13.15
*c1cc(SC)c(*)s1,14.22
*C(=O)N(*)CC=C,9.2
*C(=S)N(*)CC=C,12.04
*c1ccc(*)n1C,9.695
*N/C(C)=C/C(*)=O,9.746
*Sc1c(F)c(F)c(*)c(F)c1F,13.325
*c1cc(C)c(*)[nH]1,9.603
*Nc1ccc(*)nc1,10.868
*O[Si](*)(C)C=C,9.725
*O[Si](*)(C)C=C,9.725
*CCN(*)C,7.148
*N=P(Cl)(Cl)N=P(Cl)(Cl)/N=S(/*)Cl,23.373
*CC(=O)C(*)C,7.662
*NC(CO)C(*)=O,7.86
*CC(*)C[SiH3],9.509
*CCCS(*)=O,9.136
*CC(*)OC(C)=O,8.268
*CC(*)OC(=O)C(F)(F)F,8.58
*CC(*)(C)C(=O)O,8.239
*CC(*)OC(=O)CCl,10.106
*CC(*)C(=O)OCF,8.3
*CC(*)(Cl)C(=O)OC,10.151
*C(*)C(=O)OCC,8.268
*CC(*)(F)C(=O)OC,8.329
*CC(*)C(F)(F)C(F)(F)F,7.777
*CCC(F)(F)C(*)(F)Cl,9.506
*CCC(F)(F)C(*)(F)F,7.666
*CC(*)CC(F)(F)F,7.647
*c1ccc2oc(*)nc2c1,12.791
*CC(C[N-][N+]#N)O*,9.871
*c1ccc2nc(*)sc2c1,15.265
*CCCC(=O)O*,8.322
*CCOC(=O)C(=O)O*,9.137
*OC(C)CC(*)=O,8.378
*CC(C)C(=O)O*,8.239
*OC(C)(C)C(*)=O,8.298
*OC(CCl)CC(*)=O,10.157
*C[Si](*)(C)C,9.424
*OC(CC(*)=O)C(Cl)(Cl)Cl,13.899
